"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","program_ids","dataset","first_seen","last_seen","last_change"
"my-inval-0a7b436fe767b31a34d7d9328b11b7adb1b4b6a2","LegalEntity","Bursa Malaysia Group","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-08-26T07:55:03"
"my-inval-0abfd6e0c458a54205f7dfee1dbf4718325b3161","LegalEntity","http://334696.com/","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-09-04T07:55:02","2026-04-17T07:55:03","2025-09-04T07:55:02"
"my-inval-0acec84bedaaeed37d6b2e31b07b1980b4f37e66","LegalEntity","Jaya Capital Malaysia","Jaya Capital Investment Sdn Bhd;Jaya Capital Trading","","","Sublot 16, Block 226, KNLD, Taman STC, 5th Mile, Jalan Penrissen, 93250 Kuching, Sarawak","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0add2a91be68ffb18cae3acf1c6414d4978ee61d","LegalEntity","Macquarie Capital","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2025-12-06T07:55:03"
"my-inval-0add2abd58f1d4d0d4addf5b80f6496704b51d0d","LegalEntity","Dana Modal","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0b0f419b7cc731037c57a4b9dca00e4a7b187031","LegalEntity","Platform Wahed Investing","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0bbb3b41454d4fd113f25ed53d7adc225cfb60d5","LegalEntity","Xpert Investment","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0bc9091d0ea5dce17f0874dc4064147a34a8ecbc","LegalEntity","TradeEU Global","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-07-02T07:55:03","2026-04-17T07:55:03","2024-07-02T07:55:03"
"my-inval-0bf469a7a34df7440ad06d33ddf0349791adaf03","LegalEntity","Quanture","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-11-06T07:55:03","2026-04-17T07:55:03","2025-11-06T07:55:03"
"my-inval-0c10cc4771986adde76ed44d5223c8b9824c7483","LegalEntity","FintechFX","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0c24774c654b58763a9aef5bf646a2c09c5d72aa","LegalEntity","JMC Capital","TRADEJMC","","","","","","","","","Malaysia Securities Commission Investor Alert List","2025-12-19T07:55:03","2026-04-17T07:55:03","2025-12-19T07:55:03"
"my-inval-0c7fff03a6897d91fb5c54c1528c1578ae1c1d6c","LegalEntity","Hot Forex Trade","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
"my-inval-0cbd86147f41d8669dbd627eab39d6fcaf53eeef","LegalEntity","Scope Markets Ltd","","","","","","","","","","Malaysia Securities Commission Investor Alert List","2024-06-20T15:26:17","2026-04-17T07:55:03","2024-06-20T16:17:25"
